nm, %R
300,27.284166
305,26.677824
310,26.31627
315,26.141349
320,25.994698
325,25.891713
330,25.699072
335,25.558273
340,25.350684
345,25.200814
350,25.088564
355,24.921694
360,24.491982
365,23.520549
370,21.759253
375,19.448791
380,17.095167
385,15.06068
390,13.360429
395,11.91256
400,10.645093
405,9.565039
410,8.602468
415,7.757226
420,7.001507
425,6.335058
430,5.738124
435,5.201555
440,4.727747
445,4.305359
450,3.931619
455,3.596477
460,3.294098
465,3.025836
470,2.783942
475,2.575231
480,2.380332
485,2.199128
490,2.038892
495,1.891771
500,1.763782
505,1.648335
510,1.549356
515,1.461144
520,1.387746
525,1.32119
530,1.263638
535,1.216343
540,1.175204
545,1.139111
550,1.112112
555,1.09047
560,1.076568
565,1.068793
570,1.070108
575,1.073557
580,1.084189
585,1.096681
590,1.110129
595,1.125872
600,1.145269
605,1.165266
610,1.1853
615,1.20853
620,1.231644
625,1.260709
630,1.293937
635,1.3256
640,1.362932
645,1.399858
650,1.439902
655,1.479549
660,1.523688
665,1.57074
670,1.620638
675,1.668474
680,1.724277
685,1.777578
690,1.831606
695,1.894381
700,1.95968
705,2.020256
710,2.085597
715,2.148135
720,2.217825
725,2.28575
730,2.353879
735,2.424683
740,2.494601
745,2.563249
750,2.634274
755,2.69655
760,2.766659
765,2.83413
770,2.901078
775,2.96428
780,3.026963
785,3.089319
790,3.160043
795,3.22869
800,3.286065
805,3.344669
810,3.40656
815,3.477186
820,3.543842
825,3.595645
830,3.658071
835,3.716866
840,3.786663
845,3.838859
850,3.890858
855,4.001448
860,4.071048
865,4.120207
870,4.195616
875,4.251532
880,4.286348
885,4.333298
890,4.399307
895,4.45386
900,4.492221
905,4.536794
910,4.578489
915,4.634371
920,4.681063
925,4.756693
930,4.795102
935,4.853209
940,4.897363
945,4.956216
950,5.016651
955,5.049379
960,5.12513
965,5.196707
970,5.240187
975,5.300803
980,5.390094
985,5.446184
990,5.528636
995,5.654228
1000,5.7844
1005,5.920945
1010,6.122895
1015,6.310916
1020,6.572726
1025,6.883018
1030,7.242448
1035,7.652196
1040,8.113132
1045,8.680785
1050,9.262456
1055,9.946046
1060,10.616646
1065,11.312677
1070,11.917333
1075,12.509992
1080,13.087075
1085,13.692366
1090,14.213067
1095,14.777467
1100,15.328624
1105,15.827733
1110,16.370295
1115,16.840715
1120,17.329674
1125,17.754978
1130,18.191433
1135,18.645966
1140,19.004975
1145,19.356219
1150,19.731784
1155,20.017935
1160,20.288196
1165,20.541586
1170,20.746318
1175,20.973589
1180,21.129698
1185,21.199166
1190,21.198011
1195,21.269692
1200,21.30716
